District_1,Total_pop,Sinhalese,Tamils,Muslims,Others,Sinhalese_pct,Tamils_pct,Muslims_pct,Others_pct
Colombo,2309809,1771319,258654,242728,37108,77,11,11,2
Gampaha,2294641,2079115,90950,95501,29075,91,4,4,1
Kalutara,1217260,1054991,47973,112276,2020,87,4,9,0
Kandy,1369899,1018323,154874,191159,5543,74,11,14,0
Matale,482229,389092,48156,44113,868,81,10,9,0
Nuwara Eliya,706588,279784,407662,17422,1720,40,58,2,0
Galle,1058771,998540,20869,38591,771,94,2,4,0
Matara,809344,763121,20546,25300,377,94,3,3,0
Hambantota,596617,579032,2247,6556,8782,97,0,1,1
Jaffna,583378,3366,577745,2139,128,1,99,0,0
Mannar,99051,1961,80962,16087,41,2,82,16,0
Vavuniya,171511,17191,142561,11700,59,10,83,7,0
Mullaitivu,91947,8851,81263,1760,73,10,88,2,0
Kilinochchi,112875,962,111210,678,25,1,99,1,0
Batticaloa,525142,6127,382300,133844,2871,1,73,25,1
Ampara,648057,251018,112915,282484,1640,39,17,44,0
Trincomalee,378182,101991,122080,152854,1257,27,32,40,0
Kurunegala,1610299,1471339,22345,113560,3055,91,1,7,0
Puttalam,759776,559031,50026,146820,3899,74,7,19,1
Anuradhapura,856232,778131,6022,70248,1831,91,1,8,0
Polonnaruwa,403335,365476,8546,29060,253,91,2,7,0
Badulla,811758,593120,169997,45886,2755,73,21,6,0
Moneragala,448142,423972,14373,9552,245,95,3,2,0
Ratnapura,1082277,942244,117253,21550,1230,87,11,2,0
Kegalle,836603,715723,61718,57952,1210,86,7,7,0